Date,Alemania,Sudáfrica,España
2021-05-23 00:00:00+00:00,3648958,1635465,3636453
2021-05-24 00:00:00+00:00,3651640,1637848,3647520
2021-05-25 00:00:00+00:00,3653551,1637848,3652879
2021-05-26 00:00:00+00:00,3656177,1645555,3657886
2021-05-27 00:00:00+00:00,3662490,1649977,3663176
2021-05-28 00:00:00+00:00,3669870,1654551,3668658
2021-05-29 00:00:00+00:00,3675296,1659070,3668658
2021-05-30 00:00:00+00:00,3679148,1659070,3668658
2021-05-31 00:00:00+00:00,3681126,1665617,3678390
2021-06-01 00:00:00+00:00,3682911,1669231,3682778
2021-06-02 00:00:00+00:00,3687828,1675013,3687762
2021-06-03 00:00:00+00:00,3692468,1680373,3693012
2021-06-04 00:00:00+00:00,3695633,1686041,3697981
2021-06-05 00:00:00+00:00,3697927,1691491,3697981
2021-06-06 00:00:00+00:00,3700367,1696564,3697981
2021-06-07 00:00:00+00:00,3701484,1699849,3707523
2021-06-08 00:00:00+00:00,3702688,1704058,3711027
2021-06-09 00:00:00+00:00,3705942,1712939,3715454
2021-06-10 00:00:00+00:00,3709129,1722086,3729458
2021-06-11 00:00:00+00:00,3711569,1730106,3733600
2021-06-12 00:00:00+00:00,3713480,1739425,3733600
2021-06-13 00:00:00+00:00,3714969,1747082,3733600
2021-06-14 00:00:00+00:00,3715518,1752630,3741767
2021-06-15 00:00:00+00:00,3716170,1761066,3745199
2021-06-16 00:00:00+00:00,3717625,1774312,3749031
2021-06-17 00:00:00+00:00,3718955,1786079,3753228
2021-06-18 00:00:00+00:00,3720031,1796589,3757442
